,artist_name,track_name,track_id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
520549,Natanael Cano,Porte Exuberante,4DdnffqoFr9wDRlCACNmGf,71,sad,0.685,0.831,4,-4.38,0,0.0858,0.398,0.0,0.177,0.486,97.431,3
564968,Falling In Reverse,ZOMBIFIED,2ib8fuTavdc48X6MjhE4Ft,71,metal,0.544,0.911,10,-3.681,0,0.0422,0.000141,8.89e-06,0.333,0.558,91.033,4
189669,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,71,house,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,4
523441,Stephanie Beatriz,The Family Madrigal,4b1yxSdlumA8N4fEk4UOZp,71,show-tunes,0.594,0.628,1,-6.345,1,0.359,0.12,0.0,0.0582,0.556,141.391,4
1020921,Skillet,Hero,4CbKVDZkYKdv69I4bCaKUq,71,alt-rock,0.533,0.967,1,-2.543,1,0.0995,0.00791,0.0,0.336,0.782,142.018,4
340911,Playboi Carti,Foreign,500l6Cwe40hkPqS7Sf7ufY,71,hip-hop,0.762,0.705,6,-5.195,0,0.164,0.0906,0.0,0.17,0.264,122.955,4
524295,Pamungkas,Risalah Hati,5h51lTy1jYDDkYLALQrzX9,71,singer-songwriter,0.509,0.465,10,-10.112,1,0.0283,0.737,0.000233,0.136,0.324,73.991,4
452891,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,71,hip-hop,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,4
439856,Jeremy Zucker,"always, i'll care",0rbKrBvZUYY9GN9l057BuY,71,electro,0.732,0.221,6,-12.623,1,0.056,0.897,2.62e-05,0.11,0.677,105.165,4
1054771,Atif Aslam,Tu Jaane Na,4iFPsNzNV7V9KJgcOX7TEO,71,pop,0.702,0.86,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.829,120.042,4
43791,alt-J,Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,71,rock,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
390068,Apache 207,Roller,6hw1Sy9wZ8UCxYGdpKrU6M,71,german,0.941,0.758,10,-6.47,0,0.17,0.0256,0.00258,0.193,0.683,128.017,4
59169,Cage The Elephant,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0,71,blues,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,4
612591,Kali Uchis,Endlessly,0wzCQjc8JRa39ej1TFkAFt,71,pop,0.635,0.748,2,-5.458,0,0.0597,0.0362,3.33e-06,0.0755,0.629,82.016,4
612590,Kali Uchis,Love Between...,128I36bDgYHU9l2QcgEGcd,71,pop,0.56,0.395,2,-11.236,0,0.0542,0.805,0.00264,0.102,0.414,130.782,4
1122552,Jennifer Lopez,On The Floor - Radio Edit,0Oe49j06Bjrxs8PltuVeaW,71,dance,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,4
56397,Fitz and The Tantrums,Out of My League,2AYEOC02WLhUiOoaig2SEH,71,alt-rock,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
1122586,Taio Cruz,Hangover,5pmL3RzOy3IvGFaSDi4hZL,71,dance,0.606,0.883,3,-3.243,1,0.0423,0.00872,0.0,0.0698,0.608,128.053,4
397247,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,71,hip-hop,0.691,0.64,0,-6.441,1,0.369,0.511,0.0,0.409,0.163,138.672,4
397248,"Tyler, The Creator",RUNNING OUT OF TIME,5QvBXUm5MglLJ3iBfTX2Wo,71,hip-hop,0.36,0.391,6,-10.6,1,0.0528,0.296,0.000406,0.129,0.162,84.281,4
397255,Westside Gunn,Love U,1crT4b1YmKckWpK23mSnnO,71,hip-hop,0.348,0.725,1,-6.894,1,0.0813,0.000865,0.00957,0.168,0.643,143.712,4
397258,NLE Choppa,Shotta Flow (feat. Blueface) [Remix],5BJMeoCXXgbRAWfp6fTulr,71,hip-hop,0.894,0.511,2,-4.768,1,0.421,0.0251,0.0,0.14,0.567,120.077,4
452881,Santa Fe Klan,Así Soy,5Wvw29RKTFSK0IuCd2qs4m,71,hip-hop,0.932,0.484,0,-6.357,1,0.324,0.0343,0.0,0.122,0.403,119.94,4
43790,Imagine Dragons,Radioactive,4G8gkOterJn0Ywt6uhqbhp,71,rock,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4
551953,MC Rogerinho,Tchuco Nela,3ShKPhFkexrwl7WoyTtNND,71,funk,0.802,0.727,9,-4.968,0,0.0307,0.413,0.0,0.0713,0.837,125.038,4
605671,Pritam,"Munda Sona Hoon Main (From ""Shehzada"")",0NODNDsiY0sK5P0TnmDMSE,71,indian,0.775,0.83,9,-4.905,0,0.0571,0.271,0.0,0.191,0.913,130.024,4
406503,Lewis Capaldi,Grace,0pEkK8MqbmGSX7fT8WLMbR,71,pop,0.722,0.565,4,-5.848,1,0.0335,0.435,0.0,0.165,0.488,104.483,4
40479,Vishal-Shekhar,Ishq Wala Love,1hQia6rxgfM1ly2hE3StWp,71,pop,0.711,0.295,0,-12.377,0,0.0334,0.534,4.51e-05,0.0782,0.694,135.041,4
552002,KayBlack,Freestyle,0LGGo9eY1aJX6tqgxa87kd,71,funk,0.532,0.551,1,-8.961,1,0.401,0.0908,0.0,0.59,0.787,58.814,4
612588,Kali Uchis,All Mine,6TRjT37UyRUVrGg3gTlIqb,71,pop,0.632,0.469,10,-8.683,0,0.0313,0.442,0.000132,0.124,0.541,94.347,4
1140283,Childish Gambino,Bonfire,25ypHCQpDX2nrDFly7eZLZ,71,hip-hop,0.506,0.745,1,-6.041,1,0.332,0.0594,0.0,0.373,0.284,161.798,4
406476,Harry Styles,Treat People With Kindness,03mMSLEJCPoGJwQhHpN5y0,71,pop,0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017,4
612580,Kali Uchis,Deserve Me (with Summer Walker),0vQffWKfl0JyRqtdoZINEM,71,pop,0.639,0.641,8,-6.798,0,0.0344,0.0649,1.58e-05,0.137,0.419,111.017,4
61895,Tom Odell,Heal,4KlL5Bwlm4yHYxr0B2rHci,71,chill,0.445,0.179,1,-12.938,1,0.0396,0.952,0.00056,0.107,0.119,72.246,4
1122542,Beyoncé,Run the World (Girls),1uXbwHHfgsXcUKfSZw5ZJ0,71,dance,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,4
406565,Sebastian Yatra,Un Año,2vrpcQNg6itmgVZWsNjWe0,71,pop,0.773,0.378,1,-7.062,0,0.0531,0.14,0.0,0.133,0.513,94.946,4
